ano_mes,quantidade_vendida
2020-01,29
2020-02,16
2020-03,17
2020-04,28
2020-05,5
2020-06,8
2020-07,4
2020-08,9
2020-09,16
2020-10,0
2020-11,56
2020-12,45
2021-01,16
2021-02,24
2021-03,28
2021-04,20
2021-05,14
2021-06,7
2021-07,0
2021-08,11
2021-09,3
2021-10,23
2021-11,40
2021-12,45
2022-01,13
2022-02,24
2022-03,33
2022-04,23
2022-05,0
2022-06,15
2022-07,0
2022-08,12
2022-09,17
2022-10,70
2022-11,21
2022-12,49
2023-01,19
2023-02,33
2023-03,22
2023-04,44
2023-05,0
2023-06,5
2023-07,6
2023-08,4
2023-09,21
2023-10,33
2023-11,45
2023-12,42
2024-01,33
2024-02,43
2024-03,56
2024-04,44
2024-05,28
2024-06,13
2024-07,5
2024-08,10
2024-09,10
2024-10,20
2024-11,47
2024-12,18
2025-01,53
2025-02,32
2025-03,58
2025-04,38
2025-05,24
2025-06,17
2025-07,14
2025-08,23
2025-09,26
2025-10,25
2025-11,54
2025-12,19
2026-01,76
2026-02,55
2026-03,51
2026-04,23
2026-05,27
2026-06,31
2026-07,22
2026-08,25
2026-09,46
2026-10,20
2026-11,35
2026-12,64
